swenson_name,SPCD,GENUS,SPECIES,VARIETY,SUBSPECIES,trait.genus,trait.species,sp_in,sp_out,species_name,Height,Seed,Density,Nitrogen,Height_source,Height_indicator,Seed_source,Seed_indicator,Density.source,Density_indicator,Nitrogen_source,Nitrogen_indicator,NOTES
alnus_glutinosa,355,Alnus,glutinosa,,,alnus,glutinosa,355,355,NA,13.716,1.395668831,0.42,3.538,USDA 2011,0,USDA 2011,0,1,0,29,0,
asimina_triloba,367,Asimina,triloba,,,asimina,triloba,367,367,Asimina triloba,7.62,650.7781492,0.384,3.5,USDA 2011,0,USDA 2011,0,2,1,1,0,
elaeagnus_angustifolia,997,Elaeagnus,angustifolia,,,elaeagnus,angustifolia,997,997,Elaeagnus angustifolia,10.668,87.90549806,0.464079,3.3,USDA 2011,0,USDA 2011,0,1,0,5,0,
ailanthus_altissima,341,Ailanthus,altissima,,,ailanthus,altissima,341,341,Ailanthus altissima,16.764,30.98308538,0.457191,3.12,USDA 2011,0,USDA 2011,0,1,0,30,1,
robinia_pseudoacacia,901,Robinia,pseudoacacia,,,robinia,pseudoacacia,901,901,Robinia pseudoacacia,18.288,18.89968208,0.66,2.97,USDA 2011,0,USDA 2011,0,1,0,29,0,
juglans_nigra,602,Juglans,nigra,,,juglans,nigra,602,602,Juglans nigra,30.48,11339.80925,0.51,2.96,USDA 2011,0,USDA 2011,0,1,0,20,0,
tilia_spp.,950,Tilia,spp.,,,tilia,spp.,950,950,Tilia,30.48,95.19252256,0.32,2.88,derived,2,derived,2,derived,2,derived,2,
tilia_americana,951,Tilia,americana,,,tilia,americana,951,951,Tilia americana,30.48,95.19252256,0.32,2.88,USDA 2011,0,USDA 2011,0,1,0,29,0,
prunus_americana,766,Prunus,americana,,,prunus,americana,766,766,Prunus americana,7.3152,521.3705402,0.48,2.87,USDA 2011,0,USDA 2011,0,2,1,30,1,
prunus_nigra,765,Prunus,nigra,,,prunus,nigra,765,765,Prunus nigra,9.144,93.04458872,0.48,2.87,USDA 2011,0,USDA 2011,0,2,1,30,1,
annona_glabra,853,Annona,glabra,,,annona,glabra,853,853,NA,3.048,229,0.5,2.85,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
juniperus_coahuilensis,59,Juniperus,coahuilensis,,,juniperus,coahuilensis,59,59,NA,8,59.81,0.5075,2.84,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
diospyros_virginiana,521,Diospyros,virginiana,,,diospyros,virginiana,521,521,Diospyros virginiana,16.764,377.9936417,0.67,2.82,USDA 2011,0,USDA 2011,0,1,0,16,0,
diospyros_spp.,520,Diospyros,spp.,,,diospyros,spp.,520,520,NA,16.764,262.8968209,0.67,2.82,derived,2,derived,2,derived,2,derived,2,
