lat,lon,genus,species,count
25.069648,-80.468843,Bursera,simaruba,3
25.069648,-80.468843,Coccoloba,diversifolia,2
25.069648,-80.468843,Guapira,discolor,9
25.069648,-80.468843,Metopium,toxiferum,4
25.069648,-80.468843,Swietenia,mahagoni,6
25.069648,-80.468843,Avicennia,germinans,4
25.069648,-80.468843,Conocarpus,erectus,10
25.069648,-80.468843,Laguncularia,racemosa,3
25.069648,-80.468843,Rhizophora,mangle,4
25.382767,-80.518447,Persea,borbonia,1
25.382767,-80.518447,Salix,caroliniana,12
25.456017,-80.340489,Conocarpus,erectus,13
25.456017,-80.340489,Laguncularia,racemosa,5
25.456017,-80.340489,Rhizophora,mangle,28
25.784524,-80.910546,Taxodium,distichum,1
25.784524,-80.910546,Taxodium,ascendens,33
25.856105,-80.897732,Taxodium,ascendens,12
25.856105,-80.897732,Melaleuca,quinquenervia,1
25.861378,-81.161577,Taxodium,ascendens,22
25.928309,-80.442324,Melaleuca,quinquenervia,20
25.939583,-81.284182,Pinus,elliottii,5
25.939583,-81.284182,Taxodium,ascendens,12
25.965455,-81.677056,Avicennia,germinans,2
25.965455,-81.677056,Laguncularia,racemosa,11
25.965455,-81.677056,Rhizophora,mangle,9
26.02819,-81.248693,Sabal,palmetto,2
26.098155,-81.343469,Sabal,palmetto,4
26.101603,-81.512706,Sabal,palmetto,61
26.109061,-81.615498,Melaleuca,quinquenervia,1
26.123098,-81.333719,Sabal,palmetto,6
26.173574,-80.913837,Taxodium,ascendens,23
26.173574,-80.913837,Sabal,palmetto,5
26.176571,-81.463896,Sabal,palmetto,27
26.188766,-81.60297,Pinus,elliottii,10
26.188766,-81.60297,Sabal,palmetto,13
26.188766,-81.60297,Family Arecaceae,not listed above,1
26.188766,-81.60297,Melaleuca,quinquenervia,2
26.26352,-81.729111,Pinus,elliottii,2
26.26352,-81.729111,Quercus,virginiana,12
26.26352,-81.729111,Sabal,palmetto,32
26.335124,-80.985368,Sabal,palmetto,1
26.425122,-81.529753,Fraxinus,caroliniana,19
26.425122,-81.529753,Sabal,palmetto,33
26.430971,-81.481244,Celtis,occidentalis,2
26.430971,-81.481244,Quercus,virginiana,4
26.430971,-81.481244,Sabal,palmetto,5
26.506934,-98.128623,Condalia,hookeri,1
26.525776,-81.714914,Melaleuca,quinquenervia,1
26.577233,-81.733878,Sabal,palmetto,3
26.612288,-97.975876,Condalia,hookeri,11
26.634911,-97.835286,Prosopis,glandulosa,2
26.666542,-82.115228,Laguncularia,racemosa,3
26.666542,-82.115228,Rhizophora,mangle,2
26.688749,-82.256309,Sabal,palmetto,46
26.793476,-97.800511,Prosopis,glandulosa,8
26.796301,-80.392806,Pinus,elliottii,7
26.796301,-80.392806,Sabal,palmetto,1
26.81044,-82.210456,Rhizophora,mangle,11
26.814983,-98.20485,Condalia,hookeri,3
26.816528,-80.206911,Sabal,palmetto,2
26.87222,-80.361943,Taxodium,distichum,51
26.87222,-80.361943,Persea,borbonia,1
26.887606,-98.72098,Condalia,hookeri,1
26.892596,-97.653628,Acacia,farnesiana,1
26.892596,-97.653628,Condalia,hookeri,4
26.895985,-81.481074,Sabal,palmetto,1
26.905479,-82.341363,Sabal,palmetto,13
26.945522,-80.468161,Taxodium,ascendens,17
26.946938,-98.848955,Prosopis,glandulosa,18
26.957148,-97.779008,Celtis,laevigata,2
26.957148,-97.779008,Prosopis,glandulosa,4
26.959581,-80.185607,Taxodium,distichum,2
26.959581,-80.185607,Casuarina,lepidophloia,1
26.959581,-80.185607,Sabal,palmetto,23
26.992707,-82.168188,Quercus,virginiana,20
26.992707,-82.168188,Sabal,palmetto,6
27.126032,-82.256132,Sabal,palmetto,1
27.127422,-80.546662,Persea,borbonia,9
27.127422,-80.546662,Sabal,palmetto,7
27.139482,-81.824464,Magnolia,virginiana,4
27.151031,-97.949429,Quercus,virginiana,49
27.200197,-98.262396,Condalia,hookeri,1
27.203069,-81.499849,Pinus,elliottii,9
27.23893,-97.453982,Quercus,virginiana,16
27.258993,-98.923764,Condalia,hookeri,1
27.288113,-80.924403,Sabal,palmetto,95
27.29251,-99.190678,Prosopis,glandulosa,10
27.29251,-99.190678,Ebenopsis,ebano,1
27.306351,-82.333299,Sabal,palmetto,4
27.333795,-99.442418,Prosopis,glandulosa,10
27.372962,-81.469193,Pinus,elliottii,1
27.372962,-81.469193,Quercus,minima,1
27.408189,-81.736482,Celtis,laevigata,1
27.408189,-81.736482,Sabal,palmetto,16
27.423494,-80.595166,Family Arecaceae,not listed above,1
27.4272,-80.866533,Salix,caroliniana,1
27.450155,-97.678121,Acacia,farnesiana,10
27.462408,-98.074579,Condalia,hookeri,2
27.516129,-81.391492,Quercus,laevis,7
27.517255,-82.385035,Pinus,palustris,2
27.518811,-81.649679,Fraxinus,caroliniana,3
27.546073,-98.593778,Diospyros,texana,5
27.566916,-98.465989,Acacia,farnesiana,2
27.566916,-98.465989,Condalia,hookeri,1
27.583696,-80.799868,Quercus,minima,1
27.644549,-80.498961,Quercus,laurifolia,6
27.644549,-80.498961,Sabal,palmetto,14
27.644549,-80.498961,Family Arecaceae,not listed above,1
27.668473,-81.190579,Pinus,elliottii,14
27.670665,-81.354235,Pinus,palustris,1
27.679891,-99.250037,Prosopis,glandulosa,3
27.741565,-80.879596,Quercus,minima,3
27.768285,-98.706189,Condalia,hookeri,1
27.786872,-99.092221,Diospyros,texana,11
27.802296,-98.960982,Prosopis,glandulosa,5
27.833683,-81.266161,Quercus,minima,1
27.852323,-99.216568,Prosopis,glandulosa,11
27.85388,-81.976682,Sabal,palmetto,6
27.861532,-82.527279,Ficus,aurea,1
27.861532,-82.527279,Sabal,palmetto,17
27.87923,-99.428148,Prosopis,glandulosa,2
27.87923,-99.428148,Condalia,hookeri,1
27.892512,-81.532145,Quercus,minima,2
27.906681,-82.659255,Laguncularia,racemosa,28
27.906681,-82.659255,Rhizophora,mangle,3
27.909069,-81.937339,Sabal,palmetto,1
27.923353,-99.743688,Acacia,farnesiana,1
27.923353,-99.743688,Prosopis,glandulosa,1
27.980988,-81.485258,Quercus,laevis,1
27.986807,-81.63986,Quercus,laurifolia,2
27.986807,-81.63986,Quercus,virginiana,4
27.993856,-98.244859,Acacia,farnesiana,1
27.993856,-98.244859,Condalia,hookeri,2
28.048713,-81.042076,Taxodium,ascendens,1
28.048713,-81.042076,Sabal,palmetto,10
28.049693,-98.314272,Condalia,hookeri,3
28.052835,-80.604278,Sabal,palmetto,1
